chr	gene	start	end	transcript	strand	cancerGene	geneColor
1	DDX11L1	11874	14409	NR_046018	+	no	black
1	WASH7P	14362	29370	NR_024540	-	no	black
1	MIR6859-4	17369	17436	NR_128720	-	no	black
1	MIR1302-2	30366	30503	NR_036051	+	no	black
1	FAM138F	34611	36081	NR_026820	-	no	black
1	OR4F5	69091	70008	NM_001005484	+	no	black
1	LOC729737	134773	140566	NR_039983	-	no	black
1	LOC100132062	323892	328581	NR_028325	+	no	black
1	LOC100133331	323892	328581	NR_028327	+	no	black
1	OR4F16	367659	368597	NM_001005277	+	no	black
1	LOC101928626	562760	564389	NR_125957	-	no	black
1	MIR6723	567705	567793	NR_106781	-	no	black
1	LOC100288069	700245	714068	NR_033908	-	no	black
1	FAM87B	752751	755214	NR_103536	+	no	black
1	LINC00115	761586	762902	NR_024321	-	no	black
1	LINC01128	762971	794826	NR_047526|NR_047524|NR_047523|NR_047521|NR_047519|NR_047525	+	no	black
1	FAM41C	803451	812182	NR_027055	-	no	black
1	LOC100130417	852198	855072	NR_026874|NR_122045	-	no	black
1	SAMD11	861121	879961	NM_152486	+	no	black
1	NOC2L	879583	894679	NM_015658	-	no	black
1	KLHL17	895967	901099	NM_198317	+	no	black
1	PLEKHN1	901877	910484	NM_001160184|NM_032129	+	no	black
1	PERM1	910579	917497	NM_001291367|NM_001291366	-	no	black
1	HES4	934342	935552	NM_021170|NM_001142467	-	no	black
1	ISG15	948847	949919	NM_005101	+	no	black
1	AGRN	955503	991499	NM_198576	+	no	black
1	RNF223	1007126	1009687	NM_001205252	-	no	black
1	C1orf159	1017198	1051736	NM_017891	-	no	black
1	LINC01342	1072397	1079434	NR_038869	+	no	black
1	MIR200B	1102484	1102578	NR_029639	+	no	black
1	MIR200A	1103243	1103332	NR_029834	+	no	black
1	MIR429	1104385	1104467	NR_029957	+	no	black
1	TTLL10	1109286	1133313	NM_001130045|NM_153254	+	no	black
1	TNFRSF18	1138888	1142089	NM_004195|NM_148902|NM_148901	-	no	black
1	TNFRSF4	1146706	1149548	NM_003327	-	no	black
